"","OR","2.5 %","97.5 %"
"monitoring1",1.80312594569103,1.27476416998563,2.55048208333375
"trad.pko1",0.651299944201771,0.474711208882142,0.893578262700228
"sanctions1",0.704068360585768,0.504482588208141,0.982615194190625
"threat1",0.852634345070859,0.638916175027063,1.13784148032192
"pos.inc1",0.687977752467787,0.446473493844565,1.06011531348691
"sc.mission.prior1",0.630238159175828,0.445749027723139,0.891084696943058
"p5.vetoes.4yr1",1.79059580265416,0.988090817728602,3.24487716205391
"p5.abstentions.past.4yr1",1.01212512160923,0.616919862634595,1.66050296616769
"p5.abstentions.change",1.13730931762893,0.737550601042875,1.75374066828317
"prior.consent1",0.982676843752866,0.801145302062437,1.20534162375059
"intensity.med1",0.552529474162761,0.377891549663486,0.807874164136346
"intensity.high1",0.62688445050565,0.430845638668403,0.912122762807464
"prox.war1",0.800633396730918,0.614151972511142,1.0437381375491
"shock",0.555388984849671,0.364788285661783,0.845577932780267
"lootable1",0.290414238547183,0.128802114961927,0.654806250470894
"dod.med1",0.38371272411301,0.296485634639121,0.496602322151089
"dod.high1",0.267257227397639,0.200172191040819,0.356824917711512
