"","Value","Std..Error","t.value","p.value"
"monitoring1",0.584088238088438,0.187353098061612,3.11757982190589,0.0018234256161213
"trad.pko1",-0.603159072736931,0.161757209577723,-3.72879251757319,0.000192399481376696
"multi.pko1",0.725109668770889,0.183888142814459,3.94321057177958,8.03980044910277e-05
"sanctions1",-0.471494433560089,0.13536733302805,-3.48307396631941,0.000495691389353483
"threat1",0.142463140884108,0.144389600801075,0.986657903988382,0.32381037343658
"pos.inc1",-0.431733300588581,0.223020062179316,-1.93584961088143,0.0528861227224449
"sc.mission.prior1",-0.496399559290273,0.172109074036187,-2.88421492050966,0.00392390854556413
"p5.vetoes.2yr1",0.884312085393284,0.321396438793278,2.75146821387798,0.00593287772489453
"p5.abstentions.past.2yr1",0.161612375695657,0.252595854656419,0.639806127917189,0.522298648201085
"p5.abstentions.change",-0.180179346687573,0.239078362330504,-0.75364137904915,0.451064590524118
"prior.consent1",0.0168043573050327,0.103160048016639,0.162895981808018,0.870600334625011
"intensity.med1",-0.14595208853654,0.162211808712621,-0.899762413691546,0.368246700635611
"intensity.high1",0.0351014494422445,0.182745549178483,0.19207827276801,0.847680893835695
"prox.war1",-0.0140482407534063,0.130327416487422,-0.10779190696811,0.914160762788186
"shock",-0.54464946674327,0.20894039147688,-2.6067217683161,0.00914136064598494
"factions",-0.0392584993729488,0.00742470702072611,-5.28754862156292,1.23966416555619e-07
"lootable1",-0.322620136645692,0.146560502879248,-2.2012761303876,0.0277164816163339
"dod.med1",-0.839886156758702,0.131364619817184,-6.39354917577915,1.62078838055493e-10
"dod.high1",-1.37465165107068,0.155920081155312,-8.81638619531879,1.1821323872262e-18
"mil1",-0.461846433318573,0.116723521041994,-3.95675549534195,7.5974623214604e-05
"hum1",-0.917196912382592,0.137175138753785,-6.6863202816136,2.28851882012228e-11
"gov1",0.189796956068392,0.123341777024401,1.53878888927345,0.123855843211168
"ext1",-0.0420849548886047,0.171999424747659,-0.244680788615123,0.806703604425577
"coop1",-0.014721819635248,0.118722030993297,-0.124002424083186,0.901313355737863
"1|2",-3.29499667185364,1.14588287623748,-2.8755091294084,0.0040337648035441
"2|3",-1.2687802757633,1.14353062822704,-1.10952889624867,0.267202085862314
"3|4",0.52472606113681,1.1443244633643,0.458546573053345,0.646559810594075
